UpDown,lag1return,lag2return,lag3return,lag4return,lag5return
0,-0.002233886,0.002337874,-0.000930516,-0.000643375,0.003047948
1,-0.01028198,-0.002233886,0.002337874,-0.000930516,-0.000643375
0,0.009162641,-0.01028198,-0.002233886,0.002337874,-0.000930516
0,-0.001266761,0.009162641,-0.01028198,-0.002233886,0.002337874
1,-0.006318469,-0.001266761,0.009162641,-0.01028198,-0.002233886
0,0.002059461,-0.006318469,-0.001266761,0.009162641,-0.01028198
1,-0.001008596,0.002059461,-0.006318469,-0.001266761,0.009162641
0,0.002118871,-0.001008596,0.002059461,-0.006318469,-0.001266761
0,-0.008623167,0.002118871,-0.001008596,0.002059461,-0.006318469
0,-0.001436183,-0.008623167,0.002118871,-0.001008596,0.002059461
1,-0.00647451,-0.001436183,-0.008623167,0.002118871,-0.001008596
1,0.000418353,-0.00647451,-0.001436183,-0.008623167,0.002118871
1,0.012042425,0.000418353,-0.00647451,-0.001436183,-0.008623167
0,0.001738626,0.012042425,0.000418353,-0.00647451,-0.001436183
0,-0.0069943,0.001738626,0.012042425,0.000418353,-0.00647451
1,-0.004622572,-0.0069943,0.001738626,0.012042425,0.000418353
1,0.005689856,-0.004622572,-0.0069943,0.001738626,0.012042425
1,0.001979641,0.005689856,-0.004622572,-0.0069943,0.001738626
0,0.009902711,0.001979641,0.005689856,-0.004622572,-0.0069943
1,-0.005303502,0.009902711,0.001979641,0.005689856,-0.004622572
1,0.006094867,-0.005303502,0.009902711,0.001979641,0.005689856
0,0.000635868,0.006094867,-0.005303502,0.009902711,0.001979641
0,-0.007353297,0.000635868,0.006094867,-0.005303502,0.009902711
0,-0.002973574,-0.007353297,0.000635868,0.006094867,-0.005303502
0,-0.00039008,-0.002973574,-0.007353297,0.000635868,0.006094867
1,-0.020866194,-0.00039008,-0.002973574,-0.007353297,0.000635868
1,0.002658489,-0.020866194,-0.00039008,-0.002973574,-0.007353297
0,0.00693604,0.002658489,-0.020866194,-0.00039008,-0.002973574
0,-0.000308023,0.00693604,0.002658489,-0.020866194,-0.00039008
1,-0.003861757,-0.000308023,0.00693604,0.002658489,-0.020866194
0,0.006080975,-0.003861757,-0.000308023,0.00693604,0.002658489
1,-0.016652749,0.006080975,-0.003861757,-0.000308023,0.00693604
1,0.002262203,-0.016652749,0.006080975,-0.003861757,-0.000308023
1,0.012338485,0.002262203,-0.016652749,0.006080975,-0.003861757
1,0.011066049,0.012338485,0.002262203,-0.016652749,0.006080975
0,0.004453159,0.011066049,0.012338485,0.002262203,-0.016652749
1,-0.000734986,0.004453159,0.011066049,0.012338485,0.002262203
1,0.008014681,-0.000734986,0.004453159,0.011066049,0.012338485
1,0.001106183,0.008014681,-0.000734986,0.004453159,0.011066049
0,0.000771234,0.001106183,0.008014681,-0.000734986,0.004453159
0,-0.004261689,0.000771234,0.001106183,0.008014681,-0.000734986
0,-0.00238771,-0.004261689,0.000771234,0.001106183,0.008014681
0,-0.00567604,-0.00238771,-0.004261689,0.000771234,0.001106183
0,-0.010703328,-0.00567604,-0.00238771,-0.004261689,0.000771234
1,-0.005775015,-0.010703328,-0.00567604,-0.00238771,-0.004261689
1,0.012386154,-0.005775015,-0.010703328,-0.00567604,-0.00238771
1,0.007318795,0.012386154,-0.005775015,-0.010703328,-0.00567604
0,2.83676E-05,0.007318795,0.012386154,-0.005775015,-0.010703328
0,-0.00227152,2.83676E-05,0.007318795,0.012386154,-0.005775015
0,-0.002756887,-0.00227152,2.83676E-05,0.007318795,0.012386154
1,-0.002249705,-0.002756887,-0.00227152,2.83676E-05,0.007318795
0,0.003114679,-0.002249705,-0.002756887,-0.00227152,2.83676E-05
0,-0.007752985,0.003114679,-0.002249705,-0.002756887,-0.00227152
1,-0.002874883,-0.007752985,0.003114679,-0.002249705,-0.002756887
0,0.012808167,-0.002874883,-0.007752985,0.003114679,-0.002249705
1,-0.009557103,0.012808167,-0.002874883,-0.007752985,0.003114679
